Publication ID,DOI,Title,Abstract,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Cited references,Category,DecisionReason
pub.1094747988,10.1109/icassp.2006.1660084,Open Domain Speech Recognition & Translation: Lectures and Speeches,"For years speech translation has focused on the recognition and translation of discourses in limited domains, such as hotel reservations or scheduling tasks. Only recently research projects have been started to tackle the problem of open domain speech recognition and translation of complex tasks such as lectures and speeches. In this paper we present the on-going work at our laboratory in open domain speech translation of lectures and parliamentary speeches. Starting from a translation system for European parliamentary plenary sessions and a lecture speech recognition system we show how both components perform in unison on speech translation of lectures.",2006 IEEE International Conference on Acoustics Speed and Signal Processing Proceedings,2006,1,,i - 569-i - 572,"Fügen, C.; Kolss, M.; Bernreuther, D.; Paulik, M.; Stüker, S.; Vogel, S.; Waibel, A.",Carnegie Mellon University; Karlsruhe Institute of Technology,Germany; United States,https://app.dimensions.ai/details/publication/pub.1094747988,8,"[]|[]|Interspeech 2005|2005|||3149-3152|10.21437/interspeech.2005-270|pub.1140679984|11;[]|[]|7th International Conference on Spoken Language Processing (ICSLP 2002)|2002|||901-904|10.21437/icslp.2002-303|pub.1149915839|1003;[]|[]|Lecture Notes in Computer Science|2006|3869||463-475|10.1007/11677482_39|pub.1039486804|36;[]|[]|IEEE Workshop on Automatic Speech Recognition and Understanding, 2001. ASRU '01.|2001|||214-217|10.1109/asru.2001.1034625|pub.1093507201|80;[]|[]|Lecture Notes in Computer Science|2006|3869||450-462|10.1007/11677482_38|pub.1050843534|37;[]|[]|Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.|2005|1||i-825-i-828|10.1109/icassp.2005.1415241|pub.1094654615|22;[]|[]|Proceedings of the 16th conference on Computational linguistics  -|1996|2||836-841|10.3115/993268.993313|pub.1011553982|276;[]|[]|International Conference on Natural Language Processing and Knowledge Engineering, 2003. Proceedings. 2003|2003|||561-566|10.1109/nlpke.2003.1275968|pub.1094957293|15",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique/Vocale dans le résumé.
pub.1061786484,10.1109/tsa.2005.860768,Flexible Speech Translation Systems,"Speech translation research has made significant progress over the years with many high-visibility efforts showing that translation of spontaneously spoken speech from and to diverse languages is possible and applicable in a variety of domains. As language and domains continue to expand, practical concerns such as portability and reconfigurability of speech come into play: system maintenance becomes a key issue and data is never sufficient to cover the changing domains over varying languages. In this paper, we discuss strategies to overcome the limits of today's speech translation systems. In the first part, we describe our layered system architecture that allows for easy component integration, resource sharing across components, comparison of alternative approaches, and the migration toward hybrid desktop/PDA or stand-alone PDA systems. In the second part, we show how flexibility and reconfigurability is implemented by more radically relying on learning approaches and use our English–Thai two-way speech translation system as a concrete example.",IEEE Transactions on Audio Speech and Language Processing,2006,14,2,403-411,"Schultz, Tanja; Black, Alan W.; Vogel, Stephan; Woszczyna, Monika",Carnegie Mellon University,United States,https://app.dimensions.ai/details/publication/pub.1061786484,9,"[]|[]|Proceedings of the 16th conference on Computational linguistics  -|1996|2||836-841|10.3115/993268.993313|pub.1011553982|276;[]|[]|Speech Communication|1996|18|4|381-392|10.1016/0167-6393(96)00026-x|pub.1007316686|109;[]|[]|Speech Communication|2001|35|1-2|31-51|10.1016/s0167-6393(00)00094-7|pub.1003265241|224;[]|[]|2013 IEEE International Conference on Acoustics, Speech and Signal Processing|1997|1||83-86 vol.1|10.1109/icassp.1997.599552|pub.1094106167|42;[]|[]|2003 IEEE Workshop on Automatic Speech Recognition and Understanding (IEEE Cat. No.03EX721)|2003|||441-446|10.1109/asru.2003.1318481|pub.1093357913|15;[]|[]|IEEE Workshop on Automatic Speech Recognition and Understanding, 2001. ASRU '01.|2001|||214-217|10.1109/asru.2001.1034625|pub.1093507201|80;[]|[]|International Conference on Natural Language Processing and Knowledge Engineering, 2003. Proceedings. 2003|2003|||561-566|10.1109/nlpke.2003.1275968|pub.1094957293|15;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||1869-1872|10.21437/eurospeech.2003-563|pub.1149911603|10;[]|[]|Proceedings of the first international conference on Human language technology research  - HLT '01|2001|||1-5|10.3115/1072133.1072170|pub.1038151624|6;[]|[]|The Journal of the Acoustical Society of America|1989|86|2|566-81|10.1121/1.398236|pub.1062349528|99;[]|[]|IEEE International Conference on Acoustics Speech and Signal Processing|2002|1||i-845-i-848|10.1109/icassp.2002.5743871|pub.1094294791|28;[]|[]|5th European Conference on Speech Communication and Technology (Eurospeech 1997)|1997|||601-604|10.21437/eurospeech.1997-219|pub.1149909194|121;[]|[]|Computer Speech & Language|2000|14|2|137-160|10.1006/csla.2000.0140|pub.1044345465|63;[]|[]|7th International Conference on Spoken Language Processing (ICSLP 2002)|2002|||345-348|10.21437/icslp.2002-151|pub.1149915670|70;[]|[]|Proceedings of the 38th Annual Meeting on Association for Computational Linguistics  - ACL '00|2000|||440-447|10.3115/1075218.1075274|pub.1099236157|333;[]|[]|Computer Speech & Language|2000|14|4|373-400|10.1006/csla.2000.0152|pub.1040523119|362;[]|[]|Text, Speech and Language Technology|2004|23||339-350|10.1007/1-4020-2295-6_17|pub.1024093366|35;[]|[]|5th International Conference on Spoken Language Processing (ICSLP 1998)|1998|||paper 0999-0|10.21437/icslp.1998-572|pub.1149914368|13;[]|[]|IEEE. APCCAS 1998. 1998 IEEE Asia-Pacific Conference on Circuits and Systems. Microelectronics and Integrating Systems. Proceedings (Cat. No.98EX242)|1998|||547-550|10.1109/apccas.1998.743878|pub.1093277529|11;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||2049-2052|10.21437/eurospeech.2003-588|pub.1149911630|5;[]|[]|Proceedings of the 40th Annual Meeting on Association for Computational Linguistics  - ACL '02|2001|||311-318|10.3115/1073083.1073135|pub.1099239594|15415;[]|[]|6th European Conference on Speech Communication and Technology|1999|||467-470|10.21437/eurospeech.1999-120|pub.1149909807|13;[]|[]|Demonstration Papers at HLT-NAACL 2004 on XX - HLT-NAACL '04|2004|||34-35|10.3115/1614025.1614035|pub.1099150955|12;[]|[]||2000||||10.21236/ada461150|pub.1091568376|44;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||3141-3144|10.21437/eurospeech.2003-785|pub.1149911849|45;[]|[]|Proceedings of the first international conference on Human language technology research  - HLT '01|2001|||1-4|10.3115/1072133.1072140|pub.1027444281|16;[]|[]|Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.|2005|1||i/857-i/860|10.1109/icassp.2005.1415249|pub.1095201686|16;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||369-372|10.21437/eurospeech.2003-147|pub.1149911141|10;[]|[]|Proceedings of the 2003 Conference of the North American Chapter of the Association for Computational Linguistics on Human Language Technology Demonstrations - NAACL '03|2003|4||29-30|10.3115/1073427.1073442|pub.1024086524|30",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1094217633,10.1109/icsda.2012.6422477,Thai ASR Development for Network-Based Speech Translation,A network-based multilingual speech translation service under the Universal Speech Translation Advanced Research (U-STAR) consortium requires a well-tuned Thai automatic speech recognition (ASR) service. This paper summarizes the development of the service by utilizing both Thai read-speech and telephone speech (LOTUS-CELL 2.0) corpora. Tuning is performed regarding different sets of acoustic unit and training data. An evaluation shows that the recognition accuracy of ASR working over data channels can be improved by using the LOTUS-CELL 2.0 corpus although the corpus was constructed via voice channels. The problem of Named-entity (NE) words often found in the working domain is obvious and leads to an urgent future work.,2012 International Conference on Speech Database and Assessments,2012,,,92-96,"Chai, Wutiwiwatchai; Kwanchiva, Thangthai; Phuttapong, Sertsi",National Electronics and Computer Technology Center,Thailand,https://app.dimensions.ai/details/publication/pub.1094217633,6,"[]|[]|Computer Speech & Language|2013|27|2|509-527|10.1016/j.csl.2011.07.001|pub.1028259644|13;[]|[]||1995||||10.1007/978-1-4757-2440-0|pub.1027312764|22839;[]|[]|1997 IEEE Pacific Rim Conference on Communications, Computers and Signal Processing, PACRIM. 10 Years Networking the Pacific Rim, 1987-1997|1997|2||593-599 vol.2|10.1109/pacrim.1997.620333|pub.1094704622|7",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1094559425,10.1109/slt.2006.326787,Widening the NLP Pipeline for Spoken Language Processing,"A typical text-based natural language application (eg. machine translation, summarization, information extraction) consists of a pipeline of preprocessing steps such as tokenization, stemming, part-of-speech tagging, named entity detection, chunking, parsing. Information flows downstream through the preprocessing steps along a narrow pipe: each step transforms a single input string into a single best solution string. However, this narrow pipe is limiting for two reasons: First, since each of the preprocessing steps are erroneous, producing a single best solution could magnify the error propogation down the pipeline. Second, the preprocessing steps are forced to resolve genuine ambiguity prematurely. While the widening of the pipeline can potentialy benefit text-based language applications, it is imperative for spoken language processing where the output from the speech recognizer is typically a word lattice/graph. In this talk, we review how such a goal has been accomplished in tasks such as spoken language understanding, speech translation and multimodal language processing. We will also sketch methods that encode the preprocessing steps as finite-state transductions in order to exploit composition of finite-state transducers as a general constraint propogation method.",2006 IEEE Spoken Language Technology Workshop,2006,,,15-15,"Bangalore, Srinivas",AT&T Labs - Research,,https://app.dimensions.ai/details/publication/pub.1094559425,1,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique/Vocale dans le résumé.
pub.1138940340,10.24812/nictjournal.59.3.4_205,Speech Translation Technology in MASTAR Project,,情報通信研究機構研究報告,2012,59,3.4,205-212,"Sumita, Eiichiro",,,https://app.dimensions.ai/details/publication/pub.1138940340,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201248630,10.63317/3o6cccke9a8u,Performance Evaluation of Speech Translation Systems,,Proceedings of the Sixth International Conference on Language Resources and Evaluation (LREC 2008),2008,,,,"Weiss, Brian; Schlenoff, Craig; Sanders, Greg; Steves, Michelle; Condon, Sherri; Phillips, Jon; Parvaz, Dan",,,https://app.dimensions.ai/details/publication/pub.1201248630,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1021083633,10.1145/1178745.1178759,User modeling in a speech translation driven mediated interaction setting,"The paper address user behavior modeling in a machinemediated setting involving bidirectional speech translation. Specifically, usability data from doctor-patient dialogs involving a two way English-Persian speech translation system are analyzed to understand the nature, and extent, of user accommodation to machine errors. We consider user type ""categorized along the classes of Accommodating, Normal and Picky "" as it relates to the user's tendency to accept poor speech recognition and translation or retry to speak these again. For modeling, we employ a dynamic Bayesian network that can identify the user type with high accuracy after a few interactions of consistent user behavioral patterns. This model can be utilized for the design of machine strategies that can aid a user in operating the device more efficiently.",Proceedings of the 1st ACM international workshop on Human-centered multimedia,2006,,,75-80,"Shin, JongHo; Georgiou, Panayiotis G.; Narayanan, Shrikanth",University of Southern California,United States,https://app.dimensions.ai/details/publication/pub.1021083633,1,[]|[]|Proceedings of the 41st Annual Meeting on Association for Computational Linguistics  - ACL '03|2003|1||256-263|10.3115/1075096.1075129|pub.1099239691|18;[]|[]|1997 IEEE Workshop on Automatic Speech Recognition and Understanding Proceedings|1997|||80-87|10.1109/asru.1997.658991|pub.1095708764|99;[]|[]|User Modeling and User-Adapted Interaction|2002|12|4|371-417|10.1023/a:1021258506583|pub.1001247286|353;[]|[]|Proceedings of the 40th Annual Meeting on Association for Computational Linguistics  - ACL '02|2001|||311-318|10.3115/1073083.1073135|pub.1099239594|15415;[]|[]|Speech Communication|2005|45|3|231-248|10.1016/j.specom.2004.10.015|pub.1039240970|13;[]|[]|Annual Review of Public Health|1989|10|1|163-180|10.1146/annurev.pu.10.050189.001115|pub.1044977585|201;[]|[]|Speech Communication|2004|42|3-4|329-351|10.1016/j.specom.2003.10.003|pub.1014634231|15,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201250532,10.63317/4oxfceja8bfr,Applying Automated Metrics to Speech Translation Dialogs,,Proceedings of the Sixth International Conference on Language Resources and Evaluation (LREC 2008),2008,,,,"Condon, Sherri; Phillips, Jon; Doran, Christy; Aberdeen, John; Parvaz, Dan; Oshika, Beatrice; Sanders, Greg; Schlenoff, Craig",,,https://app.dimensions.ai/details/publication/pub.1201250532,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201246051,10.63317/2acrg73k5f73,The KIT Lecture Corpus for Speech Translation,,Proceedings of the Eighth International Conference on Language Resources and Evaluation (LREC 2012),2012,,,3409-3414,"Stüker, Sebastian; Kraft, Florian; Mohr, Christian; Herrmann, Teresa; Cho, Eunah; Waibel, Alex",,,https://app.dimensions.ai/details/publication/pub.1201246051,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1099206008,10.3115/1599081.1599171,Almost flat functional semantics for speech translation,,Proceedings of the 22nd International Conference on Computational Linguistics - COLING '08,2008,1,,713-720,"Rayner, Manny; Bouillon, Pierrette; Hockey, Beth Ann; Nakao, Yukie",,,https://app.dimensions.ai/details/publication/pub.1099206008,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201246182,10.63317/2cns886j886i,A Multilingual CALL Game Based on Speech Translation,,Proceedings of the Seventh International Conference on Language Resources and Evaluation (LREC 2010),2010,,,,"Rayner, Manny; Bouillon, Pierrette; Tsourakis, Nikos; Gerlach, Johanna; Georgescul, Maria; Nakao, Yukie; Baur, Claudia",,,https://app.dimensions.ai/details/publication/pub.1201246182,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1062313440,10.1121/1.2434311,Speech translation system utilizing holographic data storage medium,,The Journal of the Acoustical Society of America,2007,121,1,25,"Brotz, Gregory R.",,,https://app.dimensions.ai/details/publication/pub.1062313440,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1094492408,10.1109/asru.2007.4430142,Consolidation Based Speech Translation,"To alleviate the degradation of the performance of speech translation, this paper proposes a new approach to translate ASR results through consolidation which extracts meaningful phrases and remove redundant and irrelevant information caused by speaker's disfluency and recognition errors. The speech translation results via consolidation are partial translation and can not be directly compared with gold standards in which all words are translated. We would like to propose a new evaluation framework for partial translation by comparing with the most similar set of words extracted from a word network created by merging gradual summarizations of the gold standard translation. Chinese broadcast news speech in RT04 were recognized, consolidated and then translated. The performance of MT results was evaluated using BLEU. We propose Information Preservation Accuracy (IPAccy) and Meaning Preservation Accuracy (MPAccy) for consolidation and consolidation-based MT.",2007 IEEE Workshop on Automatic Speech Recognition & Understanding (ASRU),2007,,,380-385,"Hori, Chiori; Zhao, Bing; Vogel, Stephan; Waibel, Alex",Advanced Telecommunications Research Institute International; Carnegie Mellon University,Japan; United States,https://app.dimensions.ai/details/publication/pub.1094492408,1,[]|[]|Journal on Advances in Signal Processing|2003|2003|2|980626|10.1155/s1110865703211112|pub.1063207755|23;[]|[]|Studies in Linguistics and Philosophy|1991|44||257-278|10.1007/978-94-011-3474-3_10|pub.1002396384|388;[]|[]|Interspeech 2005|2005|||617-620|10.21437/interspeech.2005-65|pub.1140680405|3;[]|[]|Proceedings of the ACL Workshop on Building and Using Parallel Texts - ParaText '05|2005|||141|10.3115/1654449.1654480|pub.1099240202|13,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201251529,10.63317/58vtjymjir7p,GAIA: Common Framework for the Development of Speech Translation Technologies,,Proceedings of the Fifth International Conference on Language Resources and Evaluation (LREC 2006),2006,,,,"Pérez, Javier; Bonafonte, Antonio",,,https://app.dimensions.ai/details/publication/pub.1201251529,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201248724,10.63317/3psiigyfpfkf,Speech Translation in Pedagogical Environment Using Additional Sources of Knowledge,,Proceedings of the Seventh International Conference on Language Resources and Evaluation (LREC 2010),2010,,,,"Tomás, Jesús; Canovas, Alejandro; Lloret, Jaime; Pineda, Miguel García; Abad, Jose L.",,,https://app.dimensions.ai/details/publication/pub.1201248724,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140718120,10.21437/interspeech.2007-645,Punctuating confusion networks for speech translation,,Interspeech 2007,2007,,,2453-2456,"Cattoni, Roldano; Bertoldi, Nicola; Federico, Marcello",,,https://app.dimensions.ai/details/publication/pub.1140718120,3,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140684075,10.21437/interspeech.2011-552,Robust speech translation by domain adaptation,,Interspeech 2011,2011,,,2105-2108,"He, Xiaodong; Deng, Li",,,https://app.dimensions.ai/details/publication/pub.1140684075,1,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140681060,10.21437/interspeech.2006-456,Colloquial Iraqi ASR for speech translation,,Interspeech 2006,2006,,,paper 1771-wed1cap.9-0,"Saleem, Shirin; Prasad, Rohit; Natarajan, Prem",,,https://app.dimensions.ai/details/publication/pub.1140681060,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1116083285,10.20697/jasj.67.4_143,Miscellaneous thoughts on the basic research of speech translation(Tuning Fork),,Journal of the Acoustical Society of Japan,2011,67,4,143-144,"Kurematsu, Akira",Waseda University,Japan,https://app.dimensions.ai/details/publication/pub.1116083285,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140718119,10.21437/interspeech.2007-644,Improving speech translation with automatic boundary prediction,,Interspeech 2007,2007,,,2449-2452,"Matusov, Evgeny; Hillard, Dustin; Magimai-Doss, Mathew; Hakkani-Tür, Dilek; Ostendorf, Mari; Ney, Hermann",,,https://app.dimensions.ai/details/publication/pub.1140718119,15,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140684975,10.21437/interspeech.2012-618,Unsupervised deep belief features for speech translation,,Interspeech 2012,2012,,,2358-2361,"Maskey, Sameer; Zhou, Bowen",,,https://app.dimensions.ai/details/publication/pub.1140684975,1,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1093534329,10.1109/slt.2008.4777885,Improving Word Segmentation for Thai Speech Translation,"A vocabulary list and language model are primary components in a speech translation system. Generating both from plain text is a straightforward task for English. However, it is quite challenging for Chinese, Japanese, or Thai which provide no word segmentation, i.e. the text has no word boundary delimiter. For Thai word segmentation, Maximal Matching, a lexicon-based approach, is one of the popular methods. Nevertheless this method heavily relies on the coverage of the lexicon. When text contains an unknown word, this method usually produces a wrong boundary. When extracting words from this segmented text, some words will not be retrieved because of wrong segmentation. In this paper, we propose statistical techniques to tackle this problem. Based on different word segmentation methods we develop various speech translation systems and show that the proposed method can significantly improve the translation accuracy by about 6.42% BLEU points compared to the baseline system.",2008 IEEE Spoken Language Technology Workshop,2008,,,241-244,"Charoenpornsawat, Paisarn; Schultz, Tanja",Carnegie Mellon University,United States,https://app.dimensions.ai/details/publication/pub.1093534329,6,"[]|[]|Lecture Notes in Computer Science|2004|3265||115-124|10.1007/978-3-540-30194-3_13|pub.1009628517|178;[]|[]|2008 5th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology|2008|1||125-128|10.1109/ecticon.2008.4600388|pub.1095629189|83;[]|[]|Interspeech 2006|2006|||paper 1782-tue3a3o.6-0|10.21437/interspeech.2006-260|pub.1140680843|2;[]|[]|Proceedings of the 18th conference on Computational linguistics  -|2000|2||802-807|10.3115/992730.992762|pub.1039796809|35;[]|[]|Proceedings of the first international conference on Human language technology research  - HLT '01|2001|||1-5|10.3115/1072133.1072209|pub.1052374586|23;[]|[]|International Conference on Natural Language Processing and Knowledge Engineering, 2003. Proceedings. 2003|2003|||567-573|10.1109/nlpke.2003.1275970|pub.1093927272|16;[]|[]|Computers & Education|2008|51|3|1125-1141|10.1016/j.compedu.2007.11.008|pub.1023422270|30;[]|[]|Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.|2005|1||i/857-i/860|10.1109/icassp.2005.1415249|pub.1095201686|16",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140683436,10.21437/interspeech.2010-680,Rapid development of speech translation using consecutive interpretation,,Interspeech 2010,2010,,,2534-2537,"Paulik, Matthias; Waibel, Alex",,,https://app.dimensions.ai/details/publication/pub.1140683436,1,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140680951,10.21437/interspeech.2006-358,Recent advances of IBM’s handheld speech translation system,,Interspeech 2006,2006,,,paper 1590-tue2cap.9-0,"Zhu, Weizhong; Zhou, Bowen; Prosser, Charles; Krbec, Pavel; Gao, Yuqing",,,https://app.dimensions.ai/details/publication/pub.1140680951,3,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140680848,10.21437/interspeech.2006-265,High-quality speech translation in the flight domain,,Interspeech 2006,2006,,,paper 1135-tue1a1o.5-0,"Wang, Chao; Seneff, Stephanie",,,https://app.dimensions.ai/details/publication/pub.1140680848,1,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140680847,10.21437/interspeech.2006-264,A hybrid phrase-based/statistical speech translation system,,Interspeech 2006,2006,,,paper 1732-tue1a1o.4-0,"Stallard, David; Choi, Fred; Krstovski, Kriste; Natarajan, Prem; Prasad, Rohit; Saleem, Shirin",,,https://app.dimensions.ai/details/publication/pub.1140680847,2,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1099222718,10.3115/1706257.1706259,Evaluating task performance for a unidirectional controlled language medical speech translation system,,Proceedings of the Workshop on Medical Speech Translation - MST '06,2006,,,5-12,"Chatzichrisafis, Nikos; Bouillon, Pierrette; Rayner, Manny; Santaholma, Marianne; Starlander, Marianne; Hockey, Beth Ann",,,https://app.dimensions.ai/details/publication/pub.1099222718,3,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1201248287,10.63317/3hgtnpmfa9kg,Developing Non-European Translation Pairs in a Medium-Vocabulary Medical Speech Translation System,,Proceedings of the Sixth International Conference on Language Resources and Evaluation (LREC 2008),2008,,,,"Bouillon, Pierrette; Halimi, Sonia; Nakao, Yukie; Kanzaki, Kyoko; Isahara, Hitoshi; Tsourakis, Nikos; Starlander, Marianne; Hockey, Beth Ann; Rayner, Manny",,,https://app.dimensions.ai/details/publication/pub.1201248287,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140684070,10.21437/interspeech.2011-548,Speech translation with grammar driven probabilistic phrasal bilexica extraction,,Interspeech 2011,2011,,,2089-2092,"Saers, Markus; Wu, Dekai; Lo, Chi-kiu; Addanki, Karteek",,,https://app.dimensions.ai/details/publication/pub.1140684070,0,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140680948,10.21437/interspeech.2006-355,Performance improvement of dialog speech translation by rejecting unreliable utterances,,Interspeech 2006,2006,,,paper 1100-tue2cap.6-0,"Takezawa, Toshiyuki; Shimizu, Tohru",,,https://app.dimensions.ai/details/publication/pub.1140680948,1,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1140680849,10.21437/interspeech.2006-266,Optimizing components for handheld two-way speech translation for an English-iraqi Arabic system,,Interspeech 2006,2006,,,paper 1712-tue1a1o.6-0,"Hsiao, Roger; Venugopal, Ashish; Köhler, Thilo; Zhang, Ying; Charoenpornsawat, Paisarn; Zollmann, Andreas; Vogel, Stephan; Black, Alan W.; Schultz, Tanja; Waibel, Alex",,,https://app.dimensions.ai/details/publication/pub.1140680849,5,,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1046465243,10.1016/s1007-0214(08)70087-7,An introduction to the Chinese speech recognition front-end of the NICT/ATR multi-lingual speech translation system,,Tsinghua Science & Technology,2008,13,4,545-552,"Zhang, Jinsong; Jitsuhiro, Takatoshi; Yamamoto, Hirofumi; Hu, Xinhui; Nakamura, Satoshi",,,https://app.dimensions.ai/details/publication/pub.1046465243,2,"[]|[]|5th European Conference on Speech Communication and Technology (Eurospeech 1997)|1997|||1543-1546|10.21437/eurospeech.1997-444|pub.1149909444|42;[]|[]|IEEE Transactions on Audio Speech and Language Processing|2006|14|2|365-376|10.1109/tsa.2005.860774|pub.1061786487|108;[]|[]|7th European Conference on Speech Communication and Technology (Eurospeech 2001)|2001|||1617-1620|10.21437/eurospeech.2001-196|pub.1149910527|11;[]|[]|2004 IEEE International Conference on Acoustics, Speech, and Signal Processing|2004|1||i-901-i-904|10.1109/icassp.2004.1326132|pub.1093259956|26;[]|[]|Speech Communication|2003|41|2-3|369-379|10.1016/s0167-6393(02)00179-6|pub.1046381240|27;[]|[]|8th European Conference on Speech Communication and Technology (Eurospeech 2003)|2003|||2721-2724|10.21437/eurospeech.2003-525|pub.1149911561|11",Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
pub.1116015809,10.20697/jasj.66.1_36,"Applications of speech recognition : Recent researches of spoken document retrieval, speech translation and spoken dialog system(<Special issue>recent progress and future prospects of automatic speech recognition research)",,Journal of the Acoustical Society of Japan,2009,66,1,36-40,"Itoh, Yoshiaki; Hori, Takaaki",Iwate Prefectural University; NTT Inc,Japan,https://app.dimensions.ai/details/publication/pub.1116015809,0,[]|[]|IEICE Transactions on Information and Systems|2009|E92.D|3|477-488|10.1587/transinf.e92.d.477|pub.1068093378|1,Catégorie A — Pertinence directe,Présence explicite d'un terme majeur de Traduction Automatique ou Traduction Vocale dans le titre.
